date,portfolio_return,SPY
2023-01-03,-0.017644,-0.010855
2023-01-04,0.000452,0.004313
2023-01-05,0.00973,0.004411
2023-01-06,0.002207,0.004714
2023-01-09,0.002488,0.005458
2023-01-10,-0.002674,0.000567
2023-01-11,-0.006029,0.004807
2023-01-12,0.017772,0.011031
2023-01-13,0.020312,0.018963
2023-01-16,-0.007862,-0.001208
2023-01-17,-0.011819,-0.00789
2023-01-18,-0.011916,-0.013883
2023-01-19,0.006224,0.003025
2023-01-20,-0.002076,-0.001326
2023-01-23,0.01135,0.016434
2023-01-24,-0.013131,-0.012714
2023-01-25,-0.007757,-0.004871
2023-01-26,0.005873,-0.008687
2023-01-27,0.002801,0.002249
2023-01-30,-0.00655,-0.00161
2023-01-31,-0.01334,-0.008162
2023-02-01,-0.001335,-0.005609
2023-02-02,0.005714,0.010326
2023-02-03,0.0176,0.012986
2023-02-06,0.002526,0.006409
2023-02-07,0.003583,0.00704
2023-02-08,0.003606,0.006632
2023-02-09,-0.002879,-0.005433
2023-02-10,0.008514,0.000193
2023-02-13,0.001722,-0.009484
2023-02-14,0.007947,0.007157
2023-02-15,-0.012574,-0.005245
2023-02-16,-0.008363,-0.005026
2023-02-17,0.003816,0.003999
2023-02-20,0.004891,0.004098
2023-02-21,0.003017,-0.002941
2023-02-22,-0.015031,-0.01043
2023-02-23,0.00191,-0.00709
2023-02-24,0.003065,-0.006156
2023-02-27,0.013654,0.00204
2023-02-28,0.007043,0.006555
2023-03-01,-0.003779,-0.002594
2023-03-02,0.004553,0.00523
2023-03-03,-0.022498,-0.020498
2023-03-06,-0.003103,-5.1e-05
2023-03-07,-0.002964,-0.001962
2023-03-08,-0.011188,-0.017724
2023-03-09,0.016802,0.010001
2023-03-10,0.001975,0.001367
2023-03-13,0.015558,0.017404
2023-03-14,0.009114,0.006876
2023-03-15,-0.005893,-0.001935
2023-03-16,-0.028046,-0.023378
2023-03-17,-0.012223,-0.010888
2023-03-20,0.020508,0.008819
2023-03-21,0.02856,0.017733
2023-03-22,0.002635,0.003327
2023-03-23,-0.011812,-0.008692
2023-03-24,0.005136,0.007157
2023-03-27,0.003905,-0.003101
2023-03-28,-0.015544,-0.01306
2023-03-29,0.01245,0.007954
2023-03-30,-0.018769,-0.010895
2023-03-31,-0.000996,-0.002955
2023-04-03,-0.010233,-0.009602
2023-04-04,0.013717,0.009097
2023-04-05,-0.001007,-0.002336
2023-04-06,-0.008225,-0.003065
2023-04-07,-0.005217,0.000569
2023-04-10,0.020286,0.009979
2023-04-11,-0.003176,-0.006451
2023-04-12,0.007084,0.009598
2023-04-13,-0.009176,-0.008371
2023-04-14,0.014155,0.010969
2023-04-17,-0.014005,-0.009627
2023-04-18,-0.013693,-0.006294
2023-04-19,0.010956,0.015965
2023-04-20,0.011061,0.009596
2023-04-21,-0.005629,0.002787
2023-04-24,-0.006617,0.000235
2023-04-25,0.019708,0.021561
2023-04-26,-0.014099,-0.000175
2023-04-27,-0.005047,-0.000982
2023-04-28,-0.011898,-0.009669
2023-05-01,-0.000108,-0.007216
2023-05-02,0.000133,-0.005135
2023-05-03,-0.019333,-0.010153
2023-05-04,0.01483,0.010613
2023-05-05,0.006599,0.005083
2023-05-08,-0.002855,-0.002013
2023-05-09,-0.004129,-0.003572
2023-05-10,0.005086,0.015984
2023-05-11,-0.00223,-0.00358
2023-05-12,0.01541,0.015706
2023-05-15,-0.009419,-0.006081
2023-05-16,-0.005159,-0.002303
2023-05-17,0.006107,0.013143
2023-05-18,0.002856,-0.000729
2023-05-19,0.017555,0.009757
2023-05-22,0.002573,-0.002753
2023-05-23,0.00933,0.006623
2023-05-24,0.017019,0.009931
2023-05-25,0.032871,0.022346
2023-05-26,0.002929,0.004784
2023-05-29,0.005979,0.004376
2023-05-30,0.013457,0.004642
2023-05-31,-0.004997,0.002246
2023-06-01,0.005313,0.000515
2023-06-02,0.001672,0.005029
2023-06-05,0.010717,0.009095
2023-06-06,-0.011924,-0.014375
2023-06-07,0.018059,0.012601
2023-06-08,0.016357,0.011327
2023-06-09,0.011907,0.003624
2023-06-12,-0.006914,-0.007924
2023-06-13,-0.001881,-0.001455
2023-06-14,-0.005766,-0.004306
2023-06-15,0.00762,0.008691
2023-06-16,0.004876,-0.004304
2023-06-19,-0.013125,-0.015731
2023-06-20,-0.010012,-0.015135
2023-06-21,-0.010051,-0.008608
2023-06-22,0.019029,0.007873
2023-06-23,0.015528,0.017325
2023-06-26,-0.014408,-0.009102
2023-06-27,-1.2e-05,-0.000783
2023-06-28,-0.005057,0.003993
2023-06-29,-0.016683,-0.015981
2023-06-30,-0.000357,0.012346
2023-07-03,0.002372,0.003059
2023-07-04,0.013893,0.009569
2023-07-05,0.005459,0.01206
2023-07-06,-0.012751,-0.013931
2023-07-07,0.01533,0.012025
2023-07-10,-0.016692,-0.009717
2023-07-11,0.010254,0.002665
2023-07-12,-0.013483,-0.008023
2023-07-13,0.006983,0.000723
2023-07-14,-0.008232,-0.005967
2023-07-17,-0.005614,-0.007696
2023-07-18,0.000472,-0.001627
2023-07-19,0.00629,0.003703
2023-07-20,0.00502,0.001801
2023-07-21,0.012166,0.010309
2023-07-24,-0.006537,-0.015367
2023-07-25,-0.015001,-0.011555
2023-07-26,0.006518,0.006725
2023-07-27,-0.012034,-0.005548
2023-07-28,0.020562,0.012234
2023-07-31,-0.006053,0.000681
2023-08-01,-0.017929,-0.018108
2023-08-02,0.011512,0.011219
2023-08-03,8.7e-05,-0.004575
2023-08-04,-0.002066,0.003345
2023-08-07,-0.005314,-0.002665
2023-08-08,-0.002503,-0.004602
2023-08-09,-0.011945,-0.008158
2023-08-10,0.016532,0.012481
2023-08-11,0.003269,0.004432
2023-08-14,0.019526,0.011129
2023-08-15,0.004871,-0.001212
2023-08-16,-0.006807,-0.003503
2023-08-17,-0.008423,-0.002327
2023-08-18,0.016617,0.010821
2023-08-21,0.008469,0.012083
2023-08-22,0.002707,0.003559
2023-08-23,0.021626,0.016056
2023-08-24,-0.020736,-0.011231
2023-08-25,0.005157,-0.000806
2023-08-28,-0.012971,-0.020973
2023-08-29,0.003681,0.002883
2023-08-30,-0.000984,0.004208
2023-08-31,0.003,-0.001085
2023-09-01,-0.016724,-0.014343
2023-09-04,0.007991,0.003834
2023-09-05,0.003169,0.005795
2023-09-06,-0.001657,-6.9e-05
2023-09-07,-0.014496,-0.013718
2023-09-08,-0.016918,-0.012256
2023-09-11,-0.015251,-0.009965
2023-09-12,-0.003652,-0.000331
2023-09-13,0.02223,0.013337
2023-09-14,0.004434,0.003709
2023-09-15,-0.002827,0.002282
2023-09-18,0.001013,-0.008993
2023-09-19,0.018215,0.013541
2023-09-20,0.020804,0.013233
2023-09-21,-0.005676,-0.000692
2023-09-22,-0.002468,-0.003586
2023-09-25,-0.011274,-0.00892
2023-09-26,0.014478,0.01064
2023-09-27,-0.008251,-0.00915
2023-09-28,0.008475,0.00408
2023-09-29,0.008483,0.010605
2023-10-02,-0.003425,-0.00623
2023-10-03,0.007041,0.007923
2023-10-04,-0.001101,0.008227
2023-10-05,-0.011636,-0.002068
2023-10-06,-0.004451,-0.001315
2023-10-09,0.009093,0.004141
2023-10-10,0.001929,-0.005311
2023-10-11,-0.010946,-0.011785
2023-10-12,-0.00442,-0.003521
2023-10-13,0.020085,0.012169
2023-10-16,0.007822,0.006831
2023-10-17,0.000664,0.005216
2023-10-18,-0.01702,-0.014269
2023-10-19,-0.009282,0.001948
2023-10-20,-0.032945,-0.030915
